INFO:root: Niter: 72	date: 2017-02-10 09:51:23	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:51:23; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:51:23; connectionpool.py:697)
INFO:root: Niter: 66	date: 2017-02-10 09:52:55	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:52:55; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:52:55; connectionpool.py:697)
INFO:root: Niter: 61	date: 2017-02-10 09:54:12	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 09:54:12; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:54:12; connectionpool.py:697)
INFO:root: Niter: 59	date: 2017-02-10 09:54:42	dsname: Test waterproof sensor	temp_f: 75.2 (2017-02-10 09:54:42; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:54:42; connectionpool.py:697)
INFO:root: Niter: 59	date: 2017-02-10 09:54:43	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 09:54:43; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:54:43; connectionpool.py:697)
INFO:root: Niter: 58	date: 2017-02-10 09:54:59	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 09:54:59; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:54:59; connectionpool.py:697)
INFO:root: Niter: 56	date: 2017-02-10 09:55:29	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:55:29; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:55:29; connectionpool.py:697)
INFO:root: Niter: 50	date: 2017-02-10 09:57:02	dsname: Test waterproof sensor	temp_f: 75.2 (2017-02-10 09:57:02; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:57:02; connectionpool.py:697)
INFO:root: Niter: 44	date: 2017-02-10 09:58:33	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:58:33; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:58:33; connectionpool.py:697)
INFO:root: Niter: 41	date: 2017-02-10 09:59:19	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:59:19; pi-st.py:114)
